244, 204, 38 ,
246, 214, 48 ,
248, 224, 58 ,
250, 234, 68 ,
252, 244, 78 ,
255, 254, 88 ,
167, 119, 38 ,
177, 129, 48 ,
187, 139, 58 ,
197, 149, 68 ,
207, 159, 78 ,
217, 169, 88 ,
227, 179, 98 ,
237, 189, 108,
240, 199, 118,
242, 209, 128,
244, 219, 138,
248, 229, 148,
250, 239, 158,
252, 249, 168,
254, 252, 178,
255, 255, 188,
77 , 0  , 40 ,
87 , 0  , 44 ,
97 , 0  , 48 ,
107, 0  , 52 ,
117, 0  , 62 ,
127, 0  , 72 ,
137, 0  , 82 ,
147, 0  , 92 ,
157, 0  , 102,
167, 1  , 112,
177, 1  , 122,
187, 1  , 132,
197, 1  , 142,
207, 1  , 152,
217, 1  , 162,
227, 1  , 172,
5  , 0  , 0  ,
15 , 0  , 0  ,
25 , 0  , 0  ,
35 , 0  , 0  ,
45 , 0  , 0  ,
55 , 0  , 0  ,
65 , 0  , 0  ,
75 , 1  , 1  ,
85 , 1  , 1  ,
95 , 1  , 1  ,
105, 1  , 1  ,
115, 1  , 1  ,
125, 1  , 1  ,
135, 1  , 1  ,
145, 1  , 1  ,
155, 1  , 1  ,
1  , 27 , 7  ,
4  , 31 , 11 ,
9  , 35 , 15 ,
13 , 39 , 19 ,
23 , 49 , 23 ,
33 , 59 , 33 ,
43 , 69 , 43 ,
53 , 79 , 53 ,
63 , 89 , 63 ,
73 , 99 , 73 ,
83 , 109, 83 ,
93 , 119, 93 ,
103, 129, 103,
113, 139, 113,
123, 149, 123,
133, 159, 133,
1  , 28 , 0  ,
3  , 38 , 1  ,
6  , 48 , 2  ,
10 , 58 , 3  ,
14 , 68 , 4  ,
18 , 72 , 5  ,
22 , 76 , 6  ,
26 , 80 , 7  ,
36 , 84 , 8  ,
46 , 88 , 9  ,
56 , 92 , 10 ,
66 , 96 , 11 ,
76 , 100, 12 ,
86 , 104, 16 ,
96 , 108, 20 ,
106, 112, 24 ,
0  , 95 , 0  ,
0  , 105, 0  ,
0  , 115, 0  ,
0  , 125, 0  ,
0  , 135, 0  ,
0  , 145, 0  ,
0  , 155, 0  ,
0  , 165, 0  ,
0  , 175, 0  ,
0  , 185, 0  ,
0  , 195, 0  ,
0  , 205, 0  ,
0  , 215, 0  ,
0  , 225, 0  ,
0  , 235, 0  ,
0  , 245, 0  ,
0  , 141, 0  ,
0  , 151, 0  ,
0  , 161, 0  ,
0  , 171, 0  ,
0  , 181, 0  ,
0  , 191, 0  ,
0  , 201, 0  ,
0  , 211, 0  ,
0  , 221, 0  ,
0  , 225, 0  ,
0  , 230, 0  ,
0  , 235, 0  ,
0  , 240, 0  ,
0  , 245, 0  ,
0  , 250, 0  ,
0  , 255, 0  ,
0  , 103, 126,
0  , 113, 136,
0  , 123, 146,
0  , 133, 156,
0  , 143, 166,
0  , 153, 176,
0  , 163, 186,
0  , 173, 196,
0  , 183, 205,
0  , 193, 215,
0  , 203, 225,
0  , 213, 235,
0  , 223, 240,
0  , 233, 245,
0  , 243, 250,
0  , 253, 255,
1  , 1  , 30 ,
2  , 2  , 40 ,
4  , 4  , 50 ,
7  , 16 , 60 ,
17 , 26 , 70 ,
27 , 36 , 80 ,
37 , 46 , 90 ,
47 , 56 , 100,
57 , 66 , 110,
67 , 76 , 120,
77 , 86 , 130,
87 , 96 , 140,
97 , 106, 150,
107, 116, 160,
117, 126, 170,
127, 136, 180,
